set_id;number;number_variant;name;year;theme;theme_group;sub_theme;category;pieces;minifigs;thumbnail_url;image_url;brickset_url;us_price;de_price;launch_date;exit_date;packaging_type;availability;age_min;age_max;height;width;depth;weight;barcode_ean;barcode_upc;last_updated;info_complete_date
50968;10354;1;The Lord of the Rings: The Shire;2025;Icons;Model making;Licensed;Normal;2017;9;10354-1.jpg;10354-1.jpg;10354-1;269.99;269.99;2025-04-02T00:00:00Z;2028-12-31T00:00:00Z;Box;LEGO exclusive;18;;37.8;48.0;11.2;;5702017829135;673419408202;2025-05-21T13:58:56.940Z;2025-03-25T16:56:51.790Z
51271;10360;1;Shuttle Carrier Aircraft;2025;Icons;Model making;Space;Normal;2417;;10360-1.jpg;10360-1.jpg;10360-1;229.99;229.99;2025-05-15T00:00:00Z;2028-12-31T00:00:00Z;Box;Retail;18;;37.8;55.5;10.3;;5702017829180;673419408257;2025-05-21T10:46:49.520Z;2025-05-06T14:03:33.267Z
51425;65025;1;Mata Nui Collector Pack;2001;Bionicle;Constraction;Product Collection;{t.b.a.};188;;65025-1.jpg;65025-1.jpg;65025-1;;;;;Box;Retail - limited;7;;;;;;;;2025-05-21T10:32:59.857Z;2001-01-01T00:00:00Z
51186;40810;1;LEGOLAND Park Portal;2025;Promotional;Miscellaneous;LEGOLAND;Normal;323;;40810-1.jpg;40810-1.jpg;40810-1;;;;;Box;LEGOLAND exclusive;7;;;;;;;;2025-05-21T08:49:19.390Z;2025-02-18T20:21:47.187Z
51023;72043;1;Interactive LEGO Mario & Standard Kart;2025;Super Mario;Licensed;Mario Kart;Normal;278;;72043-1.jpg;72043-1.jpg;72043-1;54.99;49.99;;;Box;Retail;7;;;;;;5702017816609;673419405744;2025-05-21T04:39:05.660Z;2025-05-01T09:17:38.767Z
51022;72042;1;Prince Florian & Castle Bowser;2025;Super Mario;Licensed;Expansion Set;Normal;1251;;72042-1.jpg;72042-1.jpg;72042-1;99.99;99.99;;;Box;Retail;9;;;;;;5702017816593;673419405737;2025-05-21T04:38:30.693Z;2025-05-01T09:17:29.763Z
51021;72041;1;Party at Toad's House;2025;Super Mario;Licensed;Expansion Set;Normal;276;;72041-1.jpg;72041-1.jpg;72041-1;29.99;29.99;;;Box;Retail;7;;;;;;5702017816586;673419405720;2025-05-21T04:38:14.633Z;2025-05-01T09:17:20.613Z
51020;72040;1;Captain Toad's Camp;2025;Super Mario;Licensed;Expansion Set;Normal;159;;72040-1.jpg;72040-1.jpg;72040-1;14.99;14.99;;;Box;Retail;;;;;;;5702017816579;673419405713;2025-05-21T04:38:03.747Z;2025-05-01T09:17:10.750Z
51019;72039;1;Bowser's Castle;2025;Super Mario;Licensed;Mario Kart;Normal;1068;;72039-1.jpg;72039-1.jpg;72039-1;99.99;99.99;;;Box;Retail;9;;;;;;5702017816562;673419405706;2025-05-21T04:37:19.640Z;2025-05-01T09:16:55.320Z
51018;72038;1;Wario & King Boo;2025;Super Mario;Licensed;Mario Kart;Normal;512;;72038-1.jpg;72038-1.jpg;72038-1;49.99;49.99;;;Box;Retail;8;;;;;;5702017816555;673419405690;2025-05-21T04:36:58.783Z;2025-05-01T09:26:33.123Z
51328;21358;1;Minifigure Vending Machine;2025;Ideas;Miscellaneous;;Normal;1343;;21358-1.jpg;21358-1.jpg;21358-1;;;2025-06-01T00:00:00Z;;Box;LEGO exclusive;18;;;;;;;;2025-05-20T18:22:09.850Z;2025-05-20T18:22:09.850Z
51421;912508;1;The Mandalorian;2025;Star Wars;Licensed;Magazine Gift;Other;;;912508-1.jpg;912508-1.jpg;912508-1;;;;;Paper bag;Retail - limited;;;;;;;;;2025-05-19T20:31:59.650Z;2025-05-19T20:31:59.650Z
31845;10294;1;Titanic;2021;Icons;Model making;Miscellaneous;Normal;9090;;10294-1.jpg;10294-1.jpg;10294-1;679.99;679.99;2021-11-08T00:00:00Z;2026-12-31T00:00:00Z;Box;LEGO exclusive;18;;47.5;58.5;38.5;;5702016914320;673419340335;2025-05-19T09:23:49.983Z;2021-11-08T00:00:00Z
24319;21024;1;Louvre;2015;Architecture;Model making;Landmark Series;Normal;695;;21024-1.jpg;21024-1.jpg;21024-1;59.99;59.99;2015-09-01T00:00:00Z;2017-12-31T00:00:00Z;Box;Retail - limited;12;;19.1;26.2;7.2;;5702015354288;;2025-05-19T09:08:17.063Z;2015-09-01T00:00:00Z
